"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","22uF","","","","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~"
"C3","1","22uF","DNP","Excluded from BOM","","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~"
"C4,C6,C7,C8,C9","5","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5","1","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C10,C11,C12,C13","4","470uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~"
"D1","1","CH_1_LED","","","","SMD_LEDS_CUSTOM:LED_Single_SOT23_Lumex","~"
"D2","1","CH_2_LED","","","","SMD_LEDS_CUSTOM:LED_Single_SOT23_Lumex","~"
"D3","1","CH_3_LED","","","","SMD_LEDS_CUSTOM:LED_Single_SOT23_Lumex","~"
"D4","1","CH_4_LED","","","","SMD_LEDS_CUSTOM:LED_Single_SOT23_Lumex","~"
"D5","1","5V_GOOD_LED","","","","SMD_LEDS_CUSTOM:LED_Single_SOT23_Lumex","~"
"D6,D7,D8,D9","4","D","","","","Diode_SMD:D_SMC","~"
"D10","1","uC_GOOD_LED","","","","SMD_LEDS_CUSTOM:LED_Single_SOT23_Lumex","~"
"D11","1","TPD4E1B06DCKR","","","","CUSTOM_DIODES:TVS_TPD4E1B06DCKR",""
"D12","1","USB_DIODE","","","","Diode_SMD:Nexperia_CFP3_SOD-123W","~"
"D13","1","3V3_GOOD_LED","","","","SMD_LEDS_CUSTOM:LED_Single_SOT23_Lumex","~"
"F1","1","CH_1_FUSE","","","","Fuse:Fuse_2920_7451Metric","~"
"F2","1","CH_2_FUSE","","","","Fuse:Fuse_2920_7451Metric","~"
"F3","1","CH_3_FUSE","","","","Fuse:Fuse_2920_7451Metric","~"
"F4","1","CH_4_FUSE","","","","Fuse:Fuse_2920_7451Metric","~"
"F5","1","10A","","","","Fuseholder_PCB_Mount:Wurth_696_Fuseholder","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","~"
"J1","1","CH_1","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","~"
"J2","1","CH_2","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","~"
"J3","1","CH_3","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","~"
"J4","1","CH_4","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","~"
"J5","1","PWR_IN","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","~"
"J6","1","uPhone","","","","Connector_JST:JST_XH_S5B-XH-A-1_1x05_P2.50mm_Horizontal","~"
"J8","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"K1","1","RELAY_1","","","","Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z","https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf"
"K2","1","RELAY_2","","","","Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z","https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf"
"K3","1","RELAY_3","","","","Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z","https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf"
"K4","1","RELAY_4","","","","Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z","https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf"
"Q1,Q2,Q3,Q4,Q5,Q6","6","SS8050","","","","Package_TO_SOT_SMD:SOT-23","http://www.secosgmbh.com/datasheet/products/SSMPTransistor/SOT-23/SS8050.pdf"
"R1,R2,R3,R4","4","220","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5,R6,R7,R8","4","100K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9,R10,R41,R42","4","170R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11,R12,R13","3","170","","","","Resistor_SMD:R_0805_2012Metric","~"
"R14,R23","2","2K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R15","1","47K5","","","","Resistor_SMD:R_0805_2012Metric","~"
"R16","1","22K1","","","","Resistor_SMD:R_0805_2012Metric","~"
"R17,R18,R19,R20","4","10K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R21,R22","2","0","","","","Resistor_SMD:R_0805_2012Metric","~"
"R24,R25,R26,R29","4","0","","","","Resistor_SMD:R_0402_1005Metric","~"
"R27,R28","2","5k1","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1","1","SW_EN","","","","Button_Switch_SMD:SW_SPST_PTS645","~"
"SW2","1","SW_IO0","","","","Button_Switch_SMD:SW_SPST_PTS645","~"
"TP1","1","TP_5V","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"TP2","1","TP_3V3","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"TP13","1","TP_I2S_SD","","","","TESTPOINT_SMD:TESTPOINT_SMD_HARWIN_EZ_BOARDWARE_3.45X1.85mm","~"
"TP14","1","TP_I2S_BCLK","","","","TESTPOINT_SMD:TESTPOINT_SMD_HARWIN_EZ_BOARDWARE_3.45X1.85mm","~"
"TP15","1","TP_I2S_WS","","","","TESTPOINT_SMD:TESTPOINT_SMD_HARWIN_EZ_BOARDWARE_3.45X1.85mm","~"
"TP_CH1","1","TP_CH_1_5V","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"TP_CH2","1","TP_CH_2_5V","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"TP_CH3","1","TP_CH_3_5V","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"TP_CH4","1","TP_CH_4_5V","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"TP_CTS1","1","CTS","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP_DCD1","1","DCD","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP_DSR1","1","DSR","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP_EN_CH1","1","TP_CH_1_Q","","","","TESTPOINT_SMD:TESTPOINT_SMD_HARWIN_EZ_BOARDWARE_3.45X1.85mm","~"
"TP_EN_CH2","1","TP_CH_2_Q","","","","TESTPOINT_SMD:TESTPOINT_SMD_HARWIN_EZ_BOARDWARE_3.45X1.85mm","~"
"TP_EN_CH3","1","TP_CH_3_Q","","","","TESTPOINT_SMD:TESTPOINT_SMD_HARWIN_EZ_BOARDWARE_3.45X1.85mm","~"
"TP_EN_CH4","1","TP_CH_4_Q","","","","TESTPOINT_SMD:TESTPOINT_SMD_HARWIN_EZ_BOARDWARE_3.45X1.85mm","~"
"TP_IO4,TP_IO34","2","IO34","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP_IO5,TP_IO35","2","IO35","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP_IO19","1","IO19","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP_IO21","1","IO21","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP_IO22","1","IO22","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP_IO23","1","IO23","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP_IO26","1","IO26","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP_IO_VN1","1","SENSOR_VN","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP_IO_VP1","1","SENSOR_VP","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP_RXD0","1","TP_RXD","","","","TESTPOINT_SMD:TESTPOINT_SMD_HARWIN_EZ_BOARDWARE_3.45X1.85mm","~"
"TP_SUS1","1","SUS","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP_TXD0","1","TP_TXD","","","","TESTPOINT_SMD:TESTPOINT_SMD_HARWIN_EZ_BOARDWARE_3.45X1.85mm","~"
"U1","1","ESP32-WROOM-32E","","","","JIMS_MCUS:ESP32-WROOM-32E-0.3VIAS","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf"
"U2","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U3","1","CP2102N-Axx-xQFN28","","","","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf"
